activation_functions,batch_size,hidden_layer_dims,loss,optimizer,learning_rate,Performance (Avg),Training Time (Avg),Prediction Time (Avg)
"['relu', 'relu', 'relu', 'relu']",1024,"[64, 64, 64, 64]",mean_squared_error,adam,0.001,-2.185,2.023,0.111
"['relu', 'relu', 'relu', 'relu']",1024,"[128, 128, 128, 128]",mean_squared_error,adam,0.001,-2.221,1.862,0.11
"['relu', 'relu', 'relu', 'relu']",1024,"[256, 256, 256, 256]",mean_squared_error,adam,0.001,-2.238,1.677,0.106
"['relu', 'relu', 'relu', 'relu']",1024,"[512, 512, 512, 512]",mean_squared_error,adam,0.001,-2.218,1.428,0.111
"['relu', 'relu', 'relu', 'relu']",1024,"[1024, 1024, 1024, 1024]",mean_squared_error,adam,0.001,-2.181,1.858,0.108
"['relu', 'relu', 'relu', 'relu', 'relu', 'relu', 'relu', 'relu']",1024,"[64, 64, 64, 64, 64, 64, 64, 64]",mean_squared_error,adam,0.001,-2.206,2.154,0.134
"['relu', 'relu', 'relu', 'relu', 'relu', 'relu', 'relu', 'relu']",1024,"[128, 128, 128, 128, 128, 128, 128, 128]",mean_squared_error,adam,0.001,-2.299,2.098,0.138
"['relu', 'relu', 'relu', 'relu', 'relu', 'relu', 'relu', 'relu']",1024,"[256, 256, 256, 256, 256, 256, 256, 256]",mean_squared_error,adam,0.001,-2.167,1.426,0.131
"['relu', 'relu', 'relu', 'relu', 'relu', 'relu', 'relu', 'relu']",1024,"[512, 512, 512, 512, 512, 512, 512, 512]",mean_squared_error,adam,0.001,-2.29,1.863,0.138
"['relu', 'relu', 'relu', 'relu', 'relu', 'relu', 'relu', 'relu']",1024,"[1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024]",mean_squared_error,adam,0.001,-2.243,2.788,0.124
"['relu', 'relu', 'relu', 'relu', 'relu', 'relu', 'relu']",1024,"[64, 64, 64, 64, 64, 64, 64]",mean_squared_error,adam,0.001,-2.172,2.268,0.129
"['relu', 'relu', 'relu', 'relu', 'relu', 'relu', 'relu']",1024,"[128, 128, 128, 128, 128, 128, 128]",mean_squared_error,adam,0.001,-2.163,1.806,0.126
"['relu', 'relu', 'relu', 'relu', 'relu', 'relu', 'relu']",1024,"[256, 256, 256, 256, 256, 256, 256]",mean_squared_error,adam,0.001,-2.251,1.387,0.127
"['relu', 'relu', 'relu', 'relu', 'relu', 'relu', 'relu']",1024,"[512, 512, 512, 512, 512, 512, 512]",mean_squared_error,adam,0.001,-2.312,1.567,0.126
"['relu', 'relu', 'relu', 'relu', 'relu', 'relu', 'relu']",1024,"[1024, 1024, 1024, 1024, 1024, 1024, 1024]",mean_squared_error,adam,0.001,-2.251,1.959,0.121
"['relu', 'relu', 'relu', 'relu', 'relu', 'relu']",1024,"[64, 64, 64, 64, 64, 64]",mean_squared_error,adam,0.001,-2.22,2.333,0.12
"['relu', 'relu', 'relu', 'relu', 'relu', 'relu']",1024,"[128, 128, 128, 128, 128, 128]",mean_squared_error,adam,0.001,-2.243,1.963,0.12
"['relu', 'relu', 'relu', 'relu', 'relu', 'relu']",1024,"[256, 256, 256, 256, 256, 256]",mean_squared_error,adam,0.001,-2.234,1.561,0.122
"['relu', 'relu', 'relu', 'relu', 'relu', 'relu']",1024,"[512, 512, 512, 512, 512, 512]",mean_squared_error,adam,0.001,-2.163,1.549,0.115
"['relu', 'relu', 'relu', 'relu', 'relu', 'relu']",1024,"[1024, 1024, 1024, 1024, 1024, 1024]",mean_squared_error,adam,0.001,-2.207,1.978,0.117
"['relu', 'relu', 'relu', 'relu', 'relu']",1024,"[64, 64, 64, 64, 64]",mean_squared_error,adam,0.001,-2.249,2.16,0.112
"['relu', 'relu', 'relu', 'relu', 'relu']",1024,"[128, 128, 128, 128, 128]",mean_squared_error,adam,0.001,-2.241,1.826,0.111
"['relu', 'relu', 'relu', 'relu', 'relu']",1024,"[256, 256, 256, 256, 256]",mean_squared_error,adam,0.001,-2.24,1.654,0.113
"['relu', 'relu', 'relu', 'relu', 'relu']",1024,"[512, 512, 512, 512, 512]",mean_squared_error,adam,0.001,-2.203,1.383,0.114
"['relu', 'relu', 'relu', 'relu', 'relu']",1024,"[1024, 1024, 1024, 1024, 1024]",mean_squared_error,adam,0.001,-2.29,1.964,0.19
"['relu', 'relu', 'relu', 'relu', 'relu']",1024,"[224, 192, 608, 768, 800]",mean_absolute_error,adam,0.001,-2.495,1.133,0.102
"['relu', 'relu', 'relu', 'relu', 'relu']",1024,"[224, 192, 608, 768, 800]",mean_absolute_percentage_error,adam,0.001,-2.53,1.149,0.102
"['relu', 'relu', 'relu', 'relu', 'relu']",1024,"[224, 192, 608, 768, 800]",mean_squared_logarithmic_error,adam,0.001,-2.292,1.454,0.102
"['relu', 'relu', 'relu', 'relu', 'relu']",64,"[224, 192, 608, 768, 800]",mean_squared_error,adam,0.001,-2.259,9.111,0.119
"['relu', 'relu', 'relu', 'relu', 'relu']",128,"[224, 192, 608, 768, 800]",mean_squared_error,adam,0.001,-2.378,2.747,0.155
