activation_functions,batch_size,hidden_layer_dims,loss,optimizer,learning_rate,Performance (Avg),Training Time (Avg),Prediction Time (Avg)
"['relu', 'relu', 'relu', 'relu', 'relu']",1024,"[64, 64, 64, 64, 64]",mean_squared_error,adam,0.001,-90.874,6.282,0.126
"['relu', 'relu', 'relu', 'relu', 'relu']",1024,"[128, 128, 128, 128, 128]",mean_squared_error,adam,0.001,-94.493,5.558,0.12
"['relu', 'relu', 'relu', 'relu', 'relu']",1024,"[256, 256, 256, 256, 256]",mean_squared_error,adam,0.001,-85.009,5.901,0.123
"['relu', 'relu', 'relu', 'relu', 'relu']",1024,"[512, 512, 512, 512, 512]",mean_squared_error,adam,0.001,-90.66,4.855,0.124
"['relu', 'relu', 'relu', 'relu', 'relu']",1024,"[1024, 1024, 1024, 1024, 1024]",mean_squared_error,adam,0.001,-101.898,9.35,0.121
"['relu', 'relu', 'relu', 'relu', 'relu', 'relu']",1024,"[64, 64, 64, 64, 64, 64]",mean_squared_error,adam,0.001,-91.894,6.696,0.126
"['relu', 'relu', 'relu', 'relu', 'relu', 'relu']",1024,"[128, 128, 128, 128, 128, 128]",mean_squared_error,adam,0.001,-87.651,6.303,0.126
"['relu', 'relu', 'relu', 'relu', 'relu', 'relu']",1024,"[256, 256, 256, 256, 256, 256]",mean_squared_error,adam,0.001,-90.838,5.293,0.129
"['relu', 'relu', 'relu', 'relu', 'relu', 'relu']",1024,"[512, 512, 512, 512, 512, 512]",mean_squared_error,adam,0.001,-95.002,5.458,0.129
"['relu', 'relu', 'relu', 'relu', 'relu', 'relu']",1024,"[1024, 1024, 1024, 1024, 1024, 1024]",mean_squared_error,adam,0.001,-90.482,9.753,0.126
"['relu', 'relu', 'relu', 'relu']",1024,"[64, 64, 64, 64]",mean_squared_error,adam,0.001,-102.241,5.74,0.112
"['relu', 'relu', 'relu', 'relu']",1024,"[128, 128, 128, 128]",mean_squared_error,adam,0.001,-104.177,5.811,0.117
"['relu', 'relu', 'relu', 'relu']",1024,"[256, 256, 256, 256]",mean_squared_error,adam,0.001,-88.689,5.667,0.114
"['relu', 'relu', 'relu', 'relu']",1024,"[512, 512, 512, 512]",mean_squared_error,adam,0.001,-90.848,5.163,0.118
"['relu', 'relu', 'relu', 'relu']",1024,"[1024, 1024, 1024, 1024]",mean_squared_error,adam,0.001,-93.424,6.961,0.114
"['relu', 'relu', 'relu', 'relu', 'relu', 'relu', 'relu']",1024,"[64, 64, 64, 64, 64, 64, 64]",mean_squared_error,adam,0.001,-96.199,6.609,0.135
"['relu', 'relu', 'relu', 'relu', 'relu', 'relu', 'relu']",1024,"[128, 128, 128, 128, 128, 128, 128]",mean_squared_error,adam,0.001,-84.578,6.478,0.136
"['relu', 'relu', 'relu', 'relu', 'relu', 'relu', 'relu']",1024,"[256, 256, 256, 256, 256, 256, 256]",mean_squared_error,adam,0.001,-92.751,5.248,0.135
"['relu', 'relu', 'relu', 'relu', 'relu', 'relu', 'relu']",1024,"[512, 512, 512, 512, 512, 512, 512]",mean_squared_error,adam,0.001,-91.477,5.422,0.137
"['relu', 'relu', 'relu', 'relu', 'relu', 'relu', 'relu']",1024,"[1024, 1024, 1024, 1024, 1024, 1024, 1024]",mean_squared_error,adam,0.001,-98.256,10.42,0.132
"['relu', 'relu', 'relu', 'relu', 'relu', 'relu', 'relu', 'relu']",1024,"[64, 64, 64, 64, 64, 64, 64, 64]",mean_squared_error,adam,0.001,-90.722,6.848,0.14
"['relu', 'relu', 'relu', 'relu', 'relu', 'relu', 'relu', 'relu']",1024,"[128, 128, 128, 128, 128, 128, 128, 128]",mean_squared_error,adam,0.001,-85.493,5.747,0.14
"['relu', 'relu', 'relu', 'relu', 'relu', 'relu', 'relu', 'relu']",1024,"[256, 256, 256, 256, 256, 256, 256, 256]",mean_squared_error,adam,0.001,-84.232,5.614,0.142
"['relu', 'relu', 'relu', 'relu', 'relu', 'relu', 'relu', 'relu']",1024,"[512, 512, 512, 512, 512, 512, 512, 512]",mean_squared_error,adam,0.001,-92.184,5.606,0.137
"['relu', 'relu', 'relu', 'relu', 'relu', 'relu', 'relu', 'relu']",1024,"[1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024]",mean_squared_error,adam,0.001,-89.952,9.382,0.14
"['sigmoid', 'sigmoid', 'sigmoid', 'sigmoid', 'sigmoid', 'sigmoid', 'sigmoid']",1024,"[352, 32, 288, 32, 544, 704, 96]",mean_squared_error,adam,0.001,-172.477,7.88,0.127
"['softmax', 'softmax', 'softmax', 'softmax', 'softmax', 'softmax', 'softmax']",1024,"[352, 32, 288, 32, 544, 704, 96]",mean_squared_error,adam,0.001,-226.489,8.496,0.123
"['softplus', 'softplus', 'softplus', 'softplus', 'softplus', 'softplus', 'softplus']",1024,"[352, 32, 288, 32, 544, 704, 96]",mean_squared_error,adam,0.001,-62.421,6.128,0.2
"['softsign', 'softsign', 'softsign', 'softsign', 'softsign', 'softsign', 'softsign']",1024,"[352, 32, 288, 32, 544, 704, 96]",mean_squared_error,adam,0.001,-164.565,7.799,0.124
"['tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh']",1024,"[352, 32, 288, 32, 544, 704, 96]",mean_squared_error,adam,0.001,-164.485,7.743,0.128
