activation_functions,batch_size,hidden_layer_dims,loss,optimizer,learning_rate,Performance (Avg),Training Time (Avg),Prediction Time (Avg)
"['sigmoid', 'sigmoid', 'sigmoid', 'sigmoid']",512,"[992, 800, 960, 576]",categorical_crossentropy,adam,0.001,0.03,1.665,0.11
"['softmax', 'softmax', 'softmax', 'softmax']",512,"[992, 800, 960, 576]",categorical_crossentropy,adam,0.001,0.0,1.677,0.118
"['softplus', 'softplus', 'softplus', 'softplus']",512,"[992, 800, 960, 576]",categorical_crossentropy,adam,0.001,0.029,1.588,0.101
"['softsign', 'softsign', 'softsign', 'softsign']",512,"[992, 800, 960, 576]",categorical_crossentropy,adam,0.001,0.03,1.247,0.114
"['tanh', 'tanh', 'tanh', 'tanh']",512,"[992, 800, 960, 576]",categorical_crossentropy,adam,0.001,0.041,2.342,0.11
"['selu', 'selu', 'selu', 'selu']",512,"[992, 800, 960, 576]",categorical_crossentropy,adam,0.001,0.029,2.763,0.119
"['elu', 'elu', 'elu', 'elu']",512,"[992, 800, 960, 576]",categorical_crossentropy,adam,0.001,0.032,1.812,0.109
"['relu', 'relu', 'relu', 'relu']",512,"[992, 800, 960, 576]",categorical_crossentropy,sgd,1e-05,0.0,1.293,0.11
"['relu', 'relu', 'relu', 'relu']",512,"[992, 800, 960, 576]",categorical_crossentropy,rmsprop,0.001,0.04,1.676,0.109
"['relu', 'relu', 'relu', 'relu']",512,"[992, 800, 960, 576]",categorical_crossentropy,adadelta,0.001,0.021,1.578,0.102
"['relu', 'relu', 'relu', 'relu']",512,"[992, 800, 960, 576]",categorical_crossentropy,adagrad,0.001,0.028,1.229,0.096
"['relu', 'relu', 'relu', 'relu']",512,"[992, 800, 960, 576]",categorical_crossentropy,adamax,0.001,0.032,1.645,0.104
"['relu', 'relu', 'relu', 'relu']",512,"[992, 800, 960, 576]",categorical_crossentropy,nadam,0.001,0.04,2.003,0.109
"['relu', 'relu', 'relu', 'relu']",512,"[992, 800, 960, 576]",categorical_crossentropy,ftrl,0.001,0.0,4.78,0.099
"['relu', 'relu', 'relu', 'relu']",64,"[992, 800, 960, 576]",categorical_crossentropy,adam,0.001,0.038,9.863,0.122
"['relu', 'relu', 'relu', 'relu']",128,"[992, 800, 960, 576]",categorical_crossentropy,adam,0.001,0.015,4.146,0.116
"['relu', 'relu', 'relu', 'relu']",256,"[992, 800, 960, 576]",categorical_crossentropy,adam,0.001,0.031,1.846,0.111
"['relu', 'relu', 'relu', 'relu']",1024,"[992, 800, 960, 576]",categorical_crossentropy,adam,0.001,0.028,1.333,0.102
"['relu', 'relu', 'relu', 'relu']",2048,"[992, 800, 960, 576]",categorical_crossentropy,adam,0.001,0.034,1.177,0.099
"['relu', 'relu', 'relu', 'relu']",4096,"[992, 800, 960, 576]",categorical_crossentropy,adam,0.001,0.03,1.385,0.099
"['relu', 'relu', 'relu', 'relu']",512,"[992, 800, 960, 576]",sparse_categorical_crossentropy,adam,0.001,0.0,1.721,0.108
"['relu', 'relu', 'relu', 'relu']",512,"[992, 800, 960, 576]",binary_crossentropy,adam,0.001,0.0,1.581,0.106
"['relu', 'relu', 'relu', 'relu']",512,"[64, 64, 64, 64]",categorical_crossentropy,adam,0.001,0.023,1.489,0.12
"['relu', 'relu', 'relu', 'relu']",512,"[128, 128, 128, 128]",categorical_crossentropy,adam,0.001,0.038,1.249,0.107
"['relu', 'relu', 'relu', 'relu']",512,"[256, 256, 256, 256]",categorical_crossentropy,adam,0.001,0.025,1.21,0.12
"['relu', 'relu', 'relu', 'relu']",512,"[512, 512, 512, 512]",categorical_crossentropy,adam,0.001,0.041,1.567,0.118
"['relu', 'relu', 'relu', 'relu']",512,"[1024, 1024, 1024, 1024]",categorical_crossentropy,adam,0.001,0.027,1.537,0.113
"['relu', 'relu', 'relu', 'relu', 'relu', 'relu']",512,"[64, 64, 64, 64, 64, 64]",categorical_crossentropy,adam,0.001,0.034,2.017,0.212
"['relu', 'relu', 'relu', 'relu', 'relu', 'relu']",512,"[128, 128, 128, 128, 128, 128]",categorical_crossentropy,adam,0.001,0.036,1.462,0.127
"['relu', 'relu', 'relu', 'relu', 'relu', 'relu']",512,"[256, 256, 256, 256, 256, 256]",categorical_crossentropy,adam,0.001,0.028,1.664,0.128
"['relu', 'relu', 'relu', 'relu', 'relu', 'relu']",512,"[512, 512, 512, 512, 512, 512]",categorical_crossentropy,adam,0.001,0.029,1.289,0.133
"['relu', 'relu', 'relu', 'relu', 'relu', 'relu']",512,"[1024, 1024, 1024, 1024, 1024, 1024]",categorical_crossentropy,adam,0.001,0.029,2.261,0.127
"['relu', 'relu', 'relu', 'relu', 'relu', 'relu', 'relu']",512,"[64, 64, 64, 64, 64, 64, 64]",categorical_crossentropy,adam,0.001,0.027,1.848,0.138
"['relu', 'relu', 'relu', 'relu', 'relu', 'relu', 'relu']",512,"[128, 128, 128, 128, 128, 128, 128]",categorical_crossentropy,adam,0.001,0.021,1.732,0.135
"['relu', 'relu', 'relu', 'relu', 'relu', 'relu', 'relu']",512,"[256, 256, 256, 256, 256, 256, 256]",categorical_crossentropy,adam,0.001,0.028,1.728,0.138
"['relu', 'relu', 'relu', 'relu', 'relu', 'relu', 'relu']",512,"[512, 512, 512, 512, 512, 512, 512]",categorical_crossentropy,adam,0.001,0.036,1.761,0.134
"['relu', 'relu', 'relu', 'relu', 'relu', 'relu', 'relu']",512,"[1024, 1024, 1024, 1024, 1024, 1024, 1024]",categorical_crossentropy,adam,0.001,0.026,1.67,0.133
"['relu', 'relu', 'relu', 'relu', 'relu']",512,"[64, 64, 64, 64, 64]",categorical_crossentropy,adam,0.001,0.026,1.508,0.121
"['relu', 'relu', 'relu', 'relu', 'relu']",512,"[128, 128, 128, 128, 128]",categorical_crossentropy,adam,0.001,0.027,1.337,0.126
"['relu', 'relu', 'relu', 'relu', 'relu']",512,"[256, 256, 256, 256, 256]",categorical_crossentropy,adam,0.001,0.029,1.553,0.121
"['relu', 'relu', 'relu', 'relu', 'relu']",512,"[512, 512, 512, 512, 512]",categorical_crossentropy,adam,0.001,0.022,1.451,0.125
"['relu', 'relu', 'relu', 'relu', 'relu']",512,"[1024, 1024, 1024, 1024, 1024]",categorical_crossentropy,adam,0.001,0.024,1.867,0.119
"['relu', 'relu', 'relu', 'relu', 'relu', 'relu', 'relu', 'relu']",512,"[64, 64, 64, 64, 64, 64, 64, 64]",categorical_crossentropy,adam,0.001,0.03,1.698,0.144
"['relu', 'relu', 'relu', 'relu', 'relu', 'relu', 'relu', 'relu']",512,"[128, 128, 128, 128, 128, 128, 128, 128]",categorical_crossentropy,adam,0.001,0.028,1.591,0.14
"['relu', 'relu', 'relu', 'relu', 'relu', 'relu', 'relu', 'relu']",512,"[256, 256, 256, 256, 256, 256, 256, 256]",categorical_crossentropy,adam,0.001,0.039,1.799,0.142
"['relu', 'relu', 'relu', 'relu', 'relu', 'relu', 'relu', 'relu']",512,"[512, 512, 512, 512, 512, 512, 512, 512]",categorical_crossentropy,adam,0.001,0.029,1.633,0.144
