activation_functions,batch_size,hidden_layer_dims,loss,optimizer,learning_rate,Performance (Avg),Training Time (Avg),Prediction Time (Avg)
"['relu', 'relu', 'relu', 'relu', 'relu']",512,"[64, 64, 64, 64, 64]",categorical_crossentropy,adam,0.001,0.675,26.503,0.164
"['relu', 'relu', 'relu', 'relu', 'relu']",512,"[128, 128, 128, 128, 128]",categorical_crossentropy,adam,0.001,0.731,33.392,0.179
"['relu', 'relu', 'relu', 'relu', 'relu']",512,"[256, 256, 256, 256, 256]",categorical_crossentropy,adam,0.001,0.788,31.775,0.172
"['relu', 'relu', 'relu', 'relu', 'relu']",512,"[512, 512, 512, 512, 512]",categorical_crossentropy,adam,0.001,0.819,34.361,0.183
"['relu', 'relu', 'relu', 'relu', 'relu']",512,"[1024, 1024, 1024, 1024, 1024]",categorical_crossentropy,adam,0.001,0.817,45.773,0.172
"['relu', 'relu', 'relu', 'relu', 'relu', 'relu', 'relu', 'relu']",512,"[64, 64, 64, 64, 64, 64, 64, 64]",categorical_crossentropy,adam,0.001,0.721,35.024,0.2
"['relu', 'relu', 'relu', 'relu', 'relu', 'relu', 'relu', 'relu']",512,"[128, 128, 128, 128, 128, 128, 128, 128]",categorical_crossentropy,adam,0.001,0.765,32.999,0.192
"['relu', 'relu', 'relu', 'relu', 'relu', 'relu', 'relu', 'relu']",512,"[256, 256, 256, 256, 256, 256, 256, 256]",categorical_crossentropy,adam,0.001,0.782,32.785,0.198
"['relu', 'relu', 'relu', 'relu', 'relu', 'relu', 'relu', 'relu']",512,"[512, 512, 512, 512, 512, 512, 512, 512]",categorical_crossentropy,adam,0.001,0.8,40.5,0.197
"['relu', 'relu', 'relu', 'relu', 'relu', 'relu', 'relu', 'relu']",512,"[1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024]",categorical_crossentropy,adam,0.001,0.828,74.544,0.199
"['relu', 'relu', 'relu', 'relu']",512,"[64, 64, 64, 64]",categorical_crossentropy,adam,0.001,0.594,13.018,0.173
"['relu', 'relu', 'relu', 'relu']",512,"[128, 128, 128, 128]",categorical_crossentropy,adam,0.001,0.646,18.729,0.169
"['relu', 'relu', 'relu', 'relu']",512,"[256, 256, 256, 256]",categorical_crossentropy,adam,0.001,0.791,31.034,0.167
"['relu', 'relu', 'relu', 'relu']",512,"[512, 512, 512, 512]",categorical_crossentropy,adam,0.001,0.787,32.758,0.173
"['relu', 'relu', 'relu', 'relu']",512,"[1024, 1024, 1024, 1024]",categorical_crossentropy,adam,0.001,0.802,37.641,0.17
