activation_functions,batch_size,hidden_layer_dims,loss,optimizer,learning_rate,Performance (Avg),Training Time (Avg),Prediction Time (Avg)
"['relu', 'relu', 'relu', 'relu', 'relu', 'relu', 'relu', 'relu']",512,"[64, 64, 64, 64, 64, 64, 64, 64]",categorical_crossentropy,adam,0.001,0.226,34.142,0.188
"['relu', 'relu', 'relu', 'relu', 'relu', 'relu', 'relu', 'relu']",512,"[128, 128, 128, 128, 128, 128, 128, 128]",categorical_crossentropy,adam,0.001,0.246,25.262,0.18
"['relu', 'relu', 'relu', 'relu', 'relu', 'relu', 'relu', 'relu']",512,"[256, 256, 256, 256, 256, 256, 256, 256]",categorical_crossentropy,adam,0.001,0.255,23.473,0.177
"['relu', 'relu', 'relu', 'relu', 'relu', 'relu', 'relu', 'relu']",512,"[512, 512, 512, 512, 512, 512, 512, 512]",categorical_crossentropy,adam,0.001,0.268,21.206,0.18
"['relu', 'relu', 'relu', 'relu', 'relu', 'relu', 'relu', 'relu']",512,"[1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024]",categorical_crossentropy,adam,0.001,0.266,30.332,0.187
"['relu', 'relu', 'relu', 'relu', 'relu', 'relu', 'relu']",512,"[224, 480, 64, 96, 768, 32, 928]",categorical_crossentropy,adam,0.001,0.256,21.161,0.173
"['relu', 'relu', 'relu', 'relu', 'relu', 'relu', 'relu']",512,"[64, 64, 64, 64, 64, 64, 64]",categorical_crossentropy,adam,0.001,0.234,35.496,0.179
"['relu', 'relu', 'relu', 'relu', 'relu', 'relu', 'relu']",512,"[128, 128, 128, 128, 128, 128, 128]",categorical_crossentropy,adam,0.001,0.241,20.726,0.175
"['relu', 'relu', 'relu', 'relu', 'relu', 'relu', 'relu']",512,"[256, 256, 256, 256, 256, 256, 256]",categorical_crossentropy,adam,0.001,0.264,19.928,0.178
"['relu', 'relu', 'relu', 'relu', 'relu', 'relu', 'relu']",512,"[512, 512, 512, 512, 512, 512, 512]",categorical_crossentropy,adam,0.001,0.268,14.273,0.176
"['relu', 'relu', 'relu', 'relu', 'relu', 'relu', 'relu']",512,"[1024, 1024, 1024, 1024, 1024, 1024, 1024]",categorical_crossentropy,adam,0.001,0.267,28.256,0.186
"['relu', 'relu', 'relu', 'relu', 'relu', 'relu']",512,"[64, 64, 64, 64, 64, 64]",categorical_crossentropy,adam,0.001,0.239,35.124,0.172
"['relu', 'relu', 'relu', 'relu', 'relu', 'relu']",512,"[128, 128, 128, 128, 128, 128]",categorical_crossentropy,adam,0.001,0.243,21.409,0.175
"['relu', 'relu', 'relu', 'relu', 'relu', 'relu']",512,"[256, 256, 256, 256, 256, 256]",categorical_crossentropy,adam,0.001,0.265,14.293,0.234
"['relu', 'relu', 'relu', 'relu', 'relu', 'relu']",512,"[512, 512, 512, 512, 512, 512]",categorical_crossentropy,adam,0.001,0.26,16.451,0.174
"['relu', 'relu', 'relu', 'relu', 'relu', 'relu']",512,"[1024, 1024, 1024, 1024, 1024, 1024]",categorical_crossentropy,adam,0.001,0.268,25.707,0.183
"['relu', 'relu', 'relu', 'relu', 'relu']",512,"[64, 64, 64, 64, 64]",categorical_crossentropy,adam,0.001,0.244,37.635,0.168
"['relu', 'relu', 'relu', 'relu', 'relu']",512,"[128, 128, 128, 128, 128]",categorical_crossentropy,adam,0.001,0.241,26.471,0.23
"['relu', 'relu', 'relu', 'relu', 'relu']",512,"[256, 256, 256, 256, 256]",categorical_crossentropy,adam,0.001,0.25,13.921,0.171
"['relu', 'relu', 'relu', 'relu', 'relu']",512,"[512, 512, 512, 512, 512]",categorical_crossentropy,adam,0.001,0.273,15.981,0.17
"['relu', 'relu', 'relu', 'relu', 'relu']",512,"[1024, 1024, 1024, 1024, 1024]",categorical_crossentropy,adam,0.001,0.262,22.834,0.164
"['relu', 'relu', 'relu', 'relu']",512,"[64, 64, 64, 64]",categorical_crossentropy,adam,0.001,0.256,35.641,0.159
"['relu', 'relu', 'relu', 'relu']",512,"[128, 128, 128, 128]",categorical_crossentropy,adam,0.001,0.248,22.541,0.17
"['relu', 'relu', 'relu', 'relu']",512,"[256, 256, 256, 256]",categorical_crossentropy,adam,0.001,0.262,20.453,0.162
"['relu', 'relu', 'relu', 'relu']",512,"[512, 512, 512, 512]",categorical_crossentropy,adam,0.001,0.267,11.652,0.169
"['relu', 'relu', 'relu', 'relu']",512,"[1024, 1024, 1024, 1024]",categorical_crossentropy,adam,0.001,0.277,15.804,0.164
